k,evaluation,accuracy,sensitivity,specificity,f1,auc
1,resubstitution,1.0,1.0,1.0,1.0,1.0
1,70/30 split,0.9591,0.9626,0.9531,0.9671,0.9579
1,10-fold CV,0.949,0.9636,0.9245,0.9596,0.9441
1,leave-one-out,0.9508,0.9664,0.9245,0.961,0.9455
3,resubstitution,0.9807,0.9972,0.9528,0.9848,0.9985
3,70/30 split,0.9532,1.0,0.875,0.964,0.984
3,10-fold CV,0.9666,0.9916,0.9245,0.9739,0.9843
3,leave-one-out,0.9649,0.9916,0.9198,0.9725,0.982
5,resubstitution,0.9807,0.9972,0.9528,0.9848,0.9983
5,70/30 split,0.9708,1.0,0.9219,0.9772,0.9855
5,10-fold CV,0.9701,0.9944,0.9292,0.9766,0.9862
5,leave-one-out,0.9701,0.9916,0.934,0.9766,0.9868
7,resubstitution,0.9719,0.9944,0.934,0.978,0.9977
7,70/30 split,0.9649,0.9907,0.9219,0.9725,0.9894
7,10-fold CV,0.9649,0.9916,0.9198,0.9725,0.9858
7,leave-one-out,0.9666,0.9916,0.9245,0.9739,0.9881
